account_id,customer_id,account_type,account_status,open_date,close_date,current_balance,available_balance,credit_limit,interest_rate,branch_id,created_ts,updated_ts
1,1,LOAN,O,2016-03-13,,58009.82,0.0,,0.2043,411,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
2,1,SAVINGS,O,2022-05-11,,48175.41,43357.87,,0.2183,27,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
3,1,CREDIT,O,2017-02-15,,13111.75,1888.25,15000.0,0.139,53,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
4,1,CHECKING,O,2018-01-27,,56767.78,51091.0,,0.1294,64,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
5,2,CHECKING,O,2015-03-21,,35670.2,32103.18,,0.1288,426,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
6,2,LOAN,O,2025-10-17,,26810.88,0.0,,0.2366,114,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
7,2,SAVINGS,C,2024-12-22,2026-05-11,65244.61,58720.15,,0.2212,477,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
8,3,LOAN,O,2021-12-13,,4142.16,0.0,,0.1259,121,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
9,4,CHECKING,C,2019-08-01,2023-01-02,25154.13,22638.72,,0.0257,366,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
10,4,SAVINGS,O,2026-01-29,,51821.84,46639.66,,0.198,71,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
11,4,LOAN,O,2025-09-17,,3259.89,0.0,,0.2293,242,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
12,4,CREDIT,O,2022-06-29,,3794.21,1205.79,5000.0,0.1178,316,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
13,5,CHECKING,C,2023-11-09,2024-09-10,1029.81,926.83,,0.0547,77,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
14,6,CHECKING,O,2019-06-15,,9308.79,8377.91,,0.0603,328,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
15,6,SAVINGS,O,2016-04-08,,63408.88,57067.99,,0.1148,57,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
16,6,LOAN,O,2018-12-23,,50364.58,0.0,,0.1254,275,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
17,6,CREDIT,O,2023-06-25,,1263.91,736.09,2000.0,0.1441,368,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
18,7,CREDIT,O,2020-02-19,,1229.62,770.38,2000.0,0.0609,214,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
19,7,SAVINGS,F,2024-08-12,,14578.77,13120.89,,0.1673,269,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
20,8,CHECKING,O,2018-01-28,,30931.53,27838.38,,0.118,326,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
21,8,CREDIT,O,2022-12-04,,14715.59,284.41,15000.0,0.0641,9,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
22,8,LOAN,O,2024-02-04,,22068.54,0.0,,0.0178,124,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
23,9,CREDIT,C,2025-05-23,2026-01-04,221.68,4778.32,5000.0,0.1369,417,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
24,10,LOAN,O,2026-01-09,,29233.34,0.0,,0.0464,70,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
25,10,CREDIT,O,2021-02-17,,1432.09,567.91,2000.0,0.2359,19,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
26,11,SAVINGS,O,2016-02-02,,70806.13,63725.52,,0.0796,159,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
27,11,CHECKING,O,2017-05-21,,40988.38,36889.54,,0.2472,279,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
28,11,CREDIT,O,2016-11-30,,3799.71,11200.29,15000.0,0.1885,98,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
29,12,CREDIT,O,2022-03-14,,1244.75,8755.25,10000.0,0.0926,456,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
30,12,CHECKING,O,2025-06-25,,31701.75,28531.58,,0.1105,490,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
31,12,SAVINGS,O,2024-08-02,,30624.9,27562.41,,0.2434,255,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
32,13,CREDIT,F,2015-08-05,,1183.91,13816.09,15000.0,0.151,422,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
33,13,LOAN,F,2023-02-16,,11646.93,0.0,,0.0741,53,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
34,13,SAVINGS,O,2016-10-05,,5945.55,5350.99,,0.1655,157,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
35,13,CHECKING,O,2017-09-09,,35396.22,31856.6,,0.1796,86,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
36,14,CREDIT,C,2022-07-09,2024-11-29,24953.76,46.24,25000.0,0.0693,406,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
37,14,SAVINGS,O,2024-11-25,,75806.3,68225.67,,0.0197,327,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
38,14,CHECKING,O,2016-09-25,,32199.92,28979.93,,0.1287,384,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
39,14,LOAN,O,2023-07-27,,41085.23,0.0,,0.2381,74,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
40,15,CHECKING,O,2023-02-14,,62170.49,55953.44,,0.0922,197,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
41,15,LOAN,C,2021-02-24,2023-09-17,57018.56,0.0,,0.0091,79,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
42,15,CREDIT,O,2024-11-07,,14232.35,767.65,15000.0,0.0936,391,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
43,15,SAVINGS,O,2018-06-17,,5689.28,5120.35,,0.0353,188,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
44,16,CREDIT,O,2025-11-23,,51.83,1948.17,2000.0,0.0473,266,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
45,16,LOAN,O,2014-09-03,,23832.26,0.0,,0.1408,135,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
46,16,SAVINGS,O,2025-08-29,,61884.64,55696.18,,0.1762,110,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
47,16,CHECKING,O,2025-12-15,,79707.39,71736.65,,0.0721,470,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
48,17,SAVINGS,O,2015-11-21,,35889.44,32300.5,,0.2247,228,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
49,17,CHECKING,O,2026-05-28,,79779.62,71801.66,,0.2027,496,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
50,17,CREDIT,O,2020-03-13,,6678.4,3321.6,10000.0,0.1776,282,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
51,17,LOAN,O,2017-05-20,,32988.11,0.0,,0.2229,436,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
52,18,SAVINGS,O,2021-09-10,,40454.84,36409.36,,0.0312,103,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
53,18,LOAN,O,2016-12-05,,47731.87,0.0,,0.0599,253,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
54,19,CREDIT,O,2025-05-25,,14306.94,10693.06,25000.0,0.1173,283,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
55,20,CHECKING,O,2021-01-26,,24397.9,21958.11,,0.2498,369,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
56,20,LOAN,O,2023-09-25,,29241.24,0.0,,0.1032,210,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
57,21,SAVINGS,O,2019-01-11,,77776.57,69998.91,,0.1609,231,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
58,22,CREDIT,O,2020-11-06,,7542.96,7457.04,15000.0,0.2171,426,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
59,22,CHECKING,O,2018-10-09,,9494.97,8545.47,,0.0391,85,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
60,22,LOAN,O,2017-08-10,,10556.05,0.0,,0.2337,116,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
61,22,SAVINGS,O,2020-08-08,,27354.86,24619.37,,0.2352,459,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
62,23,CHECKING,O,2020-06-01,,50622.1,45559.89,,0.1381,65,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
63,23,SAVINGS,O,2015-09-01,,49814.3,44832.87,,0.1539,48,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
64,23,LOAN,O,2026-03-09,,30651.82,0.0,,0.043,483,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
65,24,SAVINGS,O,2020-02-01,,49770.57,44793.51,,0.2255,173,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
66,24,CREDIT,O,2024-07-01,,1029.86,23970.14,25000.0,0.216,42,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
67,25,CREDIT,O,2025-05-22,,3834.8,1165.2,5000.0,0.1047,328,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
68,26,LOAN,O,2018-11-28,,53450.82,0.0,,0.1368,329,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
69,27,LOAN,C,2019-06-04,2023-05-26,18548.6,0.0,,0.0192,31,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
70,27,CHECKING,O,2017-02-16,,12225.48,11002.93,,0.1044,238,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
71,27,SAVINGS,O,2016-03-25,,15923.85,14331.47,,0.152,161,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
72,28,CREDIT,O,2017-08-07,,5149.8,4850.2,10000.0,0.0274,124,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
73,28,SAVINGS,O,2025-08-19,,37051.04,33345.94,,0.0676,127,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
74,28,CHECKING,O,2021-05-24,,10840.65,9756.58,,0.0136,485,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
75,29,LOAN,O,2019-06-20,,56091.34,0.0,,0.1805,98,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
76,29,CHECKING,C,2016-04-22,2019-09-01,60931.27,54838.14,,0.125,264,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
77,29,CREDIT,O,2019-01-07,,7481.4,7518.6,15000.0,0.0778,12,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
78,29,SAVINGS,C,2024-06-03,2025-06-15,6748.95,6074.06,,0.0989,235,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
79,30,SAVINGS,O,2022-04-17,,27908.05,25117.24,,0.0136,254,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
80,30,CREDIT,O,2022-08-27,,22058.49,2941.51,25000.0,0.1638,241,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
81,31,CHECKING,O,2017-07-23,,10281.76,9253.58,,0.0668,188,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
82,31,LOAN,F,2024-04-13,,46067.55,0.0,,0.0921,206,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
83,31,SAVINGS,O,2026-01-04,,3618.19,3256.37,,0.1408,186,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
84,32,CHECKING,O,2022-02-20,,61034.53,54931.08,,0.0706,320,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
85,32,SAVINGS,O,2020-05-03,,54272.09,48844.88,,0.0306,500,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
86,32,CREDIT,O,2016-06-30,,787.81,1212.19,2000.0,0.1988,174,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
87,33,SAVINGS,O,2023-12-19,,39756.27,35780.64,,0.0123,71,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
88,33,CHECKING,O,2016-07-04,,56944.14,51249.73,,0.2011,266,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
89,33,LOAN,O,2023-01-28,,27962.32,0.0,,0.1519,264,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
90,34,CREDIT,O,2020-04-23,,1625.02,8374.98,10000.0,0.2476,379,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
91,34,LOAN,O,2025-06-02,,50713.51,0.0,,0.1488,260,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
92,35,CREDIT,O,2020-12-13,,6738.06,3261.94,10000.0,0.2449,299,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
93,35,SAVINGS,O,2022-02-20,,24268.07,21841.26,,0.2247,447,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
94,35,CHECKING,O,2015-03-11,,54887.51,49398.76,,0.0076,243,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
95,35,LOAN,O,2014-11-23,,16666.3,0.0,,0.1642,498,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
96,36,CHECKING,O,2024-07-31,,38176.13,34358.52,,0.1315,370,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
97,36,CREDIT,O,2025-10-03,,19365.15,5634.85,25000.0,0.0956,421,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
98,37,CHECKING,O,2022-06-15,,75830.52,68247.47,,0.0284,10,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
99,37,CREDIT,O,2023-08-08,,4705.39,10294.61,15000.0,0.0387,354,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
100,38,LOAN,O,2019-05-29,,46723.37,0.0,,0.2301,447,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
101,38,CREDIT,O,2024-07-13,,1411.55,588.45,2000.0,0.1301,288,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
102,39,LOAN,O,2017-04-01,,19511.4,0.0,,0.0441,468,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
103,39,CREDIT,O,2022-12-02,,8558.18,16441.82,25000.0,0.0892,396,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
104,39,SAVINGS,O,2014-08-07,,69346.18,62411.56,,0.1704,412,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
