transaction_id,account_id,transaction_type_cd,transaction_date,transaction_ts,amount,running_balance,merchant_name,merchant_category,channel_code,reference_num,status_code,created_ts
31,1,WDR,2025-05-01,2025-05-01 02:42:44,-132.57,8519.44,"Marquez, Jones and Garcia",RESTAURANT,WEB,REF00000030,P,2026-06-29 19:55:26.116757
50,1,PUR,2025-05-09,2025-05-09 05:30:10,-74.52,8444.92,Smith and Sons,GROCERY,POS,REF00000049,P,2026-06-29 19:55:26.116757
54,1,PMT,2025-05-15,2025-05-15 17:03:08,18.47,8463.39,,,WEB,REF00000053,P,2026-06-29 19:55:26.116757
52,1,ATM,2025-05-19,2025-05-19 11:37:49,-6097.57,2365.82,Thomas Ltd,RESTAURANT,POS,REF00000051,P,2026-06-29 19:55:26.116757
53,1,XFR,2025-05-27,2025-05-27 09:09:15,60.42,2426.24,,,MOB,REF00000052,P,2026-06-29 19:55:26.116757
27,1,ATM,2025-05-31,2025-05-31 03:34:26,-102.68,2323.56,Mooney-Clark,GAS_STATION,POS,REF00000026,R,2026-06-29 19:55:26.116757
66,1,PMT,2025-06-04,2025-06-04 15:44:59,186.24,2509.8,,,ATM,REF00000065,P,2026-06-29 19:55:26.116757
13,1,PMT,2025-06-21,2025-06-21 03:19:04,47.24,2557.04,,,POS,REF00000012,P,2026-06-29 19:55:26.116757
36,1,DEP,2025-06-24,2025-06-24 02:01:35,166.7,2723.74,,,MOB,REF00000035,P,2026-06-29 19:55:26.116757
75,1,NSF,2025-06-26,2025-06-26 16:13:14,-29.6,2694.14,,,MOB,REF00000074,P,2026-06-29 19:55:26.116757
67,1,PMT,2025-06-30,2025-06-30 22:34:13,314.77,3008.91,,,WIRE,REF00000066,P,2026-06-29 19:55:26.116757
18,1,XFR,2025-07-11,2025-07-11 23:54:32,7443.76,10452.67,,,POS,REF00000017,P,2026-06-29 19:55:26.116757
77,1,ACH,2025-07-13,2025-07-13 07:54:14,-310.22,10142.45,Clarke-Warren,UTILITIES,MOB,REF00000076,P,2026-06-29 19:55:26.116757
43,1,ACH,2025-07-13,2025-07-13 21:24:24,-113.06,10029.39,"Stevens, Howell and Mitchell",RESTAURANT,ATM,REF00000042,P,2026-06-29 19:55:26.116757
6,1,INT,2025-07-24,2025-07-24 05:22:17,44.38,10073.77,,,MOB,REF00000005,P,2026-06-29 19:55:26.116757
74,1,WDR,2025-07-28,2025-07-28 14:45:17,-219.63,9854.14,Jones-Rivera,INSURANCE,ATM,REF00000073,P,2026-06-29 19:55:26.116757
73,1,ACH,2025-07-28,2025-07-28 19:31:03,-48.46,9805.68,Allen PLC,RESTAURANT,WEB,REF00000072,P,2026-06-29 19:55:26.116757
70,1,WDR,2025-08-05,2025-08-05 02:52:30,-61.52,9744.16,,,ACH,REF00000069,P,2026-06-29 19:55:26.116757
78,1,PMT,2025-08-06,2025-08-06 18:51:44,144.03,9888.19,,,WIRE,REF00000077,P,2026-06-29 19:55:26.116757
71,1,WDR,2025-08-06,2025-08-06 19:01:27,-162.14,9726.05,"Barber, Oneal and Owens",RETAIL,POS,REF00000070,P,2026-06-29 19:55:26.116757
83,1,DEP,2025-08-09,2025-08-09 09:32:04,93.98,9820.03,,,POS,REF00000082,P,2026-06-29 19:55:26.116757
82,1,DEP,2025-08-11,2025-08-11 09:53:16,144.61,9964.64,,,WEB,REF00000081,P,2026-06-29 19:55:26.116757
20,1,PUR,2025-08-24,2025-08-24 07:43:30,-111.19,9853.45,Freeman-Christensen,GROCERY,MOB,REF00000019,P,2026-06-29 19:55:26.116757
42,1,PUR,2025-08-26,2025-08-26 14:32:07,-49.06,9804.39,Perez-Richardson,UTILITIES,ACH,REF00000041,P,2026-06-29 19:55:26.116757
39,1,NSF,2025-08-30,2025-08-30 05:35:31,-10.35,9794.04,,,POS,REF00000038,P,2026-06-29 19:55:26.116757
81,1,PMT,2025-09-09,2025-09-09 09:13:24,68.51,9862.55,,,MOB,REF00000080,P,2026-06-29 19:55:26.116757
86,1,PMT,2025-09-16,2025-09-16 21:08:32,100.6,9963.15,,,MOB,REF00000085,P,2026-06-29 19:55:26.116757
8,1,ATM,2025-09-19,2025-09-19 07:29:03,-280.6,9682.55,King-Ross,TRAVEL,MOB,REF00000007,P,2026-06-29 19:55:26.116757
4,1,PMT,2025-09-28,2025-09-28 01:37:25,182.71,9865.26,,,ATM,REF00000003,P,2026-06-29 19:55:26.116757
