customer_id,account_id,account_type,summary_period_start,summary_period_end,txn_count_total,txn_count_debit,txn_count_credit,txn_count_fee,amt_total_debit,amt_total_credit,amt_total_fees,amt_avg_debit,amt_avg_credit,amt_max_single_debit,amt_max_single_credit,distinct_merchants,top_merchant_category,pct_atm,pct_pos,pct_web,pct_mobile,days_since_last_txn,load_ts
4,11,LOAN,2025-06-29,2026-06-29,52,26.0,21.0,5.0,7817.13,11250.69,136.72,300.6588461538461,535.7471428571429,5222.85,8687.08,23,RETAIL,9.62,25.0,19.23,23.08,7,2026-06-29 19:55:28.785547+00:00
11,28,CREDIT,2025-06-29,2026-06-29,67,26.0,38.0,3.0,8167.21,15515.61,60.74,314.1234615384615,408.30552631578945,5757.45,9973.12,24,UTILITIES,7.46,26.87,25.37,22.39,11,2026-06-29 19:55:28.785547+00:00
12,30,CHECKING,2025-06-29,2026-06-29,58,42.0,13.0,3.0,4067.28,1954.21,101.12,96.84,150.32384615384615,311.99,311.45,35,RETAIL,18.97,27.59,24.14,20.69,0,2026-06-29 19:55:28.785547+00:00
13,34,SAVINGS,2025-06-29,2026-06-29,68,40.0,18.0,10.0,12939.87,1975.41,283.65,323.49675,109.745,7282.42,325.38,31,GROCERY,20.59,23.53,20.59,19.12,5,2026-06-29 19:55:28.785547+00:00
14,39,LOAN,2025-06-29,2026-06-29,28,15.0,10.0,3.0,2225.31,7471.8,75.02,148.354,747.18,249.2,6451.97,15,GROCERY,7.14,42.86,25.0,17.86,1,2026-06-29 19:55:28.785547+00:00
15,41,LOAN,2025-06-29,2026-06-29,66,31.0,29.0,6.0,10915.33,24013.71,148.51,352.1074193548387,828.0589655172414,7288.87,11616.65,27,RETAIL,21.21,30.3,19.7,18.18,4,2026-06-29 19:55:28.785547+00:00
17,48,SAVINGS,2025-06-29,2026-06-29,25,18.0,6.0,1.0,2213.11,599.85,23.21,122.95055555555555,99.975,417.05,172.51,16,ENTERTAINMENT,8.0,24.0,32.0,24.0,15,2026-06-29 19:55:28.785547+00:00
22,59,CHECKING,2025-06-29,2026-06-29,20,11.0,8.0,1.0,1513.31,1111.56,27.21,137.57363636363635,138.945,291.07,328.38,11,RETAIL,20.0,20.0,25.0,30.0,8,2026-06-29 19:55:28.785547+00:00
22,61,SAVINGS,2025-06-29,2026-06-29,65,34.0,20.0,11.0,3967.95,2410.97,270.71,116.70441176470588,120.5485,395.41,227.56,29,RETAIL,12.31,32.31,29.23,16.92,1,2026-06-29 19:55:28.785547+00:00
29,77,CREDIT,2025-06-29,2026-06-29,26,14.0,11.0,1.0,1934.56,7174.79,25.81,138.18285714285713,652.2536363636364,361.07,5686.39,12,HEALTHCARE,7.69,26.92,15.38,34.62,8,2026-06-29 19:55:28.785547+00:00
29,78,SAVINGS,2025-06-29,2026-06-29,57,37.0,15.0,5.0,36099.56,1873.54,147.18,975.6637837837837,124.90266666666666,9282.16,214.84,29,GROCERY,14.04,28.07,33.33,17.54,4,2026-06-29 19:55:28.785547+00:00
35,93,SAVINGS,2025-06-29,2026-06-29,70,46.0,17.0,7.0,4460.52,8258.66,190.87,96.96782608695652,485.8035294117647,297.52,5975.32,34,HEALTHCARE,12.86,28.57,18.57,22.86,0,2026-06-29 19:55:28.785547+00:00
37,98,CHECKING,2025-06-29,2026-06-29,60,40.0,18.0,2.0,13714.57,7134.1,41.42,342.86425,396.3388888888889,8703.01,5585.37,31,GAS_STATION,23.33,25.0,20.0,20.0,5,2026-06-29 19:55:28.785547+00:00
37,99,CREDIT,2025-06-29,2026-06-29,51,19.0,31.0,1.0,10302.11,9792.48,43.33,542.2163157894737,315.8864516129032,8391.46,6048.46,16,RETAIL,11.76,35.29,19.61,25.49,0,2026-06-29 19:55:28.785547+00:00
43,112,CREDIT,2025-06-29,2026-06-29,46,21.0,22.0,3.0,14251.25,14209.42,40.79,678.6309523809524,645.8827272727273,11634.05,11346.06,19,TRAVEL,13.04,30.43,28.26,15.22,23,2026-06-29 19:55:28.785547+00:00
45,116,LOAN,2025-06-29,2026-06-29,60,27.0,29.0,4.0,3719.6,25036.36,74.93,137.76296296296297,863.3227586206897,399.36,11243.91,23,GROCERY,10.0,20.0,18.33,25.0,4,2026-06-29 19:55:28.785547+00:00
47,119,SAVINGS,2025-06-29,2026-06-29,12,6.0,6.0,0.0,920.41,814.99,0.0,153.40166666666667,135.83166666666668,274.29,309.67,6,HEALTHCARE,16.67,25.0,16.67,33.33,35,2026-06-29 19:55:28.785547+00:00
49,121,CHECKING,2025-06-29,2026-06-29,35,20.0,10.0,5.0,2551.73,1123.64,124.52,127.5865,112.364,361.32,221.88,16,GROCERY,17.14,14.29,28.57,5.71,4,2026-06-29 19:55:28.785547+00:00
53,133,CREDIT,2025-06-29,2026-06-29,53,25.0,24.0,4.0,2904.66,12351.56,123.69,116.1864,514.6483333333333,272.08,9524.85,22,GROCERY,16.98,35.85,15.09,15.09,5,2026-06-29 19:55:28.785547+00:00
65,164,CREDIT,2025-06-29,2026-06-29,55,20.0,30.0,5.0,13387.19,16211.39,137.62,669.3595,540.3796666666667,10480.36,7019.08,14,RESTAURANT,16.36,34.55,21.82,18.18,9,2026-06-29 19:55:28.785547+00:00
74,184,LOAN,2025-06-29,2026-06-29,50,19.0,28.0,3.0,21470.96,15325.44,99.67,1130.0505263157895,547.3371428571429,11527.0,11472.44,19,RESTAURANT,20.0,34.0,26.0,12.0,5,2026-06-29 19:55:28.785547+00:00
77,197,CREDIT,2025-06-29,2026-06-29,62,26.0,29.0,7.0,2823.47,14489.33,196.33,108.595,499.63206896551725,265.72,10734.16,21,GROCERY,12.9,33.87,12.9,24.19,11,2026-06-29 19:55:28.785547+00:00
83,210,LOAN,2025-06-29,2026-06-29,33,15.0,16.0,2.0,1934.86,12220.43,77.61,128.99066666666667,763.776875,285.52,10291.14,12,GROCERY,15.15,24.24,30.3,12.12,1,2026-06-29 19:55:28.785547+00:00
87,224,SAVINGS,2025-06-29,2026-06-29,53,35.0,13.0,5.0,18948.1,1649.59,107.9,541.3742857142857,126.89153846153846,8065.45,233.71,28,INSURANCE,22.64,18.87,26.42,24.53,15,2026-06-29 19:55:28.785547+00:00
90,231,LOAN,2025-06-29,2026-06-29,19,7.0,8.0,4.0,9013.04,675.46,82.02,1287.577142857143,84.4325,7974.62,174.54,7,GROCERY,15.79,47.37,21.05,10.53,20,2026-06-29 19:55:28.785547+00:00
95,244,CHECKING,2025-06-29,2026-06-29,62,45.0,13.0,4.0,39374.25,1128.29,116.42,874.9833333333333,86.79153846153847,11009.91,261.8,36,RESTAURANT,12.9,25.81,22.58,27.42,0,2026-06-29 19:55:28.785547+00:00
98,251,CREDIT,2025-06-29,2026-06-29,40,12.0,21.0,7.0,1715.33,24400.29,151.74,142.94416666666666,1161.9185714285713,247.76,11290.86,11,RESTAURANT,10.0,30.0,15.0,35.0,4,2026-06-29 19:55:28.785547+00:00
98,252,LOAN,2025-06-29,2026-06-29,38,15.0,20.0,3.0,1743.71,2820.59,83.46,116.24733333333333,141.0295,208.72,387.31,14,GROCERY,23.68,31.58,18.42,7.89,3,2026-06-29 19:55:28.785547+00:00
100,256,LOAN,2025-06-29,2026-06-29,63,28.0,28.0,7.0,3577.09,21342.67,250.42,127.75321428571428,762.2382142857143,366.44,9491.5,26,RESTAURANT,12.7,25.4,20.63,25.4,1,2026-06-29 19:55:28.785547+00:00
102,261,LOAN,2025-06-29,2026-06-29,65,26.0,31.0,8.0,14192.96,3715.01,210.3,545.8830769230769,119.83903225806452,10790.25,361.61,22,GROCERY,15.38,29.23,23.08,23.08,8,2026-06-29 19:55:28.785547+00:00
110,280,CREDIT,2025-06-29,2026-06-29,48,16.0,27.0,5.0,1987.28,14228.89,146.3,124.205,526.9959259259259,295.41,10770.25,12,GROCERY,22.92,29.17,20.83,16.67,14,2026-06-29 19:55:28.785547+00:00
113,286,CREDIT,2025-06-29,2026-06-29,22,10.0,10.0,2.0,1069.07,1416.25,30.71,106.907,141.625,190.66,398.03,9,GROCERY,22.73,40.91,9.09,13.64,4,2026-06-29 19:55:28.785547+00:00
123,312,SAVINGS,2025-06-29,2026-06-29,19,15.0,3.0,1.0,6601.33,598.3,17.61,440.08866666666665,199.43333333333334,5292.17,237.77,12,ENTERTAINMENT,26.32,42.11,10.53,15.79,3,2026-06-29 19:55:28.785547+00:00
128,325,LOAN,2025-06-29,2026-06-29,50,15.0,31.0,4.0,1499.03,29702.21,114.74,99.93533333333333,958.1358064516129,285.48,10268.05,13,ENTERTAINMENT,24.0,38.0,22.0,12.0,5,2026-06-29 19:55:28.785547+00:00
130,333,CHECKING,2025-06-29,2026-06-29,41,27.0,10.0,4.0,3757.85,9828.01,108.69,139.17962962962963,982.801,432.36,8858.84,23,GROCERY,21.95,29.27,17.07,17.07,1,2026-06-29 19:55:28.785547+00:00
137,350,CHECKING,2025-06-29,2026-06-29,38,27.0,7.0,4.0,24125.66,808.58,112.35,893.542962962963,115.51142857142857,11697.86,172.27,22,INSURANCE,13.16,31.58,18.42,18.42,22,2026-06-29 19:55:28.785547+00:00
141,359,CREDIT,2025-06-29,2026-06-29,37,12.0,23.0,2.0,2113.63,12903.8,46.38,176.13583333333332,561.0347826086957,609.23,10542.16,12,GAS_STATION,13.51,35.14,13.51,18.92,3,2026-06-29 19:55:28.785547+00:00
147,374,CREDIT,2025-06-29,2026-06-29,63,27.0,32.0,4.0,13175.27,22431.74,123.19,487.972962962963,700.991875,9408.35,12083.09,25,GROCERY,19.05,30.16,22.22,15.87,5,2026-06-29 19:55:28.785547+00:00
153,388,SAVINGS,2025-06-29,2026-06-29,13,6.0,7.0,0.0,724.62,802.01,0.0,120.77,114.57285714285715,240.78,226.29,6,INSURANCE,23.08,7.69,15.38,7.69,12,2026-06-29 19:55:28.785547+00:00
158,401,CREDIT,2025-06-29,2026-06-29,15,6.0,9.0,0.0,1084.64,1453.7,0.0,180.77333333333334,161.5222222222222,477.75,367.66,5,GAS_STATION,13.33,40.0,26.67,6.67,0,2026-06-29 19:55:28.785547+00:00
166,414,CREDIT,2025-06-29,2026-06-29,48,22.0,25.0,1.0,2462.58,18357.77,23.66,111.93545454545455,734.3108,310.68,8515.56,21,RETAIL,10.42,33.33,22.92,16.67,1,2026-06-29 19:55:28.785547+00:00
169,421,LOAN,2025-06-29,2026-06-29,67,29.0,33.0,5.0,25152.28,14025.11,193.86,867.32,425.00333333333333,11356.33,10390.72,24,GROCERY,14.93,28.36,29.85,16.42,8,2026-06-29 19:55:28.785547+00:00
171,429,LOAN,2025-06-29,2026-06-29,17,8.0,7.0,2.0,1074.44,12439.43,63.08,134.305,1777.0614285714287,314.49,11375.69,8,GAS_STATION,23.53,23.53,17.65,11.76,48,2026-06-29 19:55:28.785547+00:00
172,431,SAVINGS,2025-06-29,2026-06-29,44,28.0,16.0,0.0,7831.39,11647.57,0.0,279.6925,727.973125,5513.73,9692.46,22,TRAVEL,29.55,22.73,18.18,13.64,4,2026-06-29 19:55:28.785547+00:00
177,441,CREDIT,2025-06-29,2026-06-29,53,28.0,20.0,5.0,3465.16,2460.74,140.22,123.75571428571429,123.037,242.29,341.64,22,RETAIL,22.64,32.08,20.75,13.21,6,2026-06-29 19:55:28.785547+00:00
179,450,LOAN,2025-06-29,2026-06-29,41,17.0,23.0,1.0,2390.11,16049.87,18.85,140.59470588235294,697.8204347826087,343.14,8032.05,17,HEALTHCARE,14.63,26.83,19.51,17.07,2,2026-06-29 19:55:28.785547+00:00
181,455,CREDIT,2025-06-29,2026-06-29,38,15.0,20.0,3.0,2057.09,2867.57,89.91,137.13933333333333,143.3785,307.44,617.75,13,RESTAURANT,7.89,31.58,21.05,31.58,13,2026-06-29 19:55:28.785547+00:00
181,456,SAVINGS,2025-06-29,2026-06-29,28,16.0,10.0,2.0,13760.03,1118.65,51.28,860.001875,111.865,11486.45,265.01,13,INSURANCE,14.29,21.43,32.14,17.86,19,2026-06-29 19:55:28.785547+00:00
186,467,SAVINGS,2025-06-29,2026-06-29,66,37.0,25.0,4.0,21581.57,17038.58,125.69,583.2856756756756,681.5432,10376.94,7188.47,30,RESTAURANT,18.18,30.3,22.73,10.61,3,2026-06-29 19:55:28.785547+00:00
189,473,CREDIT,2025-06-29,2026-06-29,53,19.0,33.0,1.0,2796.18,9172.77,39.37,147.16736842105263,277.96272727272725,310.55,5215.48,19,RETAIL,16.98,30.19,24.53,15.09,0,2026-06-29 19:55:28.785547+00:00
194,485,CHECKING,2025-06-29,2026-06-29,60,43.0,12.0,5.0,29658.35,9225.28,113.31,689.7290697674418,768.7733333333333,12050.3,7896.73,36,INSURANCE,18.33,35.0,16.67,18.33,1,2026-06-29 19:55:28.785547+00:00
199,501,CREDIT,2025-06-29,2026-06-29,17,7.0,10.0,0.0,835.63,967.22,0.0,119.37571428571428,96.722,287.97,183.91,5,RESTAURANT,17.65,29.41,23.53,17.65,11,2026-06-29 19:55:28.785547+00:00
200,503,SAVINGS,2025-06-29,2026-06-29,62,38.0,21.0,3.0,14336.24,13636.45,100.64,377.26947368421054,649.3547619047619,10490.17,11040.73,34,GROCERY,14.52,27.42,24.19,17.74,15,2026-06-29 19:55:28.785547+00:00
201,504,CREDIT,2025-06-29,2026-06-29,32,11.0,16.0,5.0,913.7,1762.81,125.31,83.06363636363636,110.175625,172.47,248.62,10,GROCERY,18.75,18.75,31.25,28.13,14,2026-06-29 19:55:28.785547+00:00
206,517,LOAN,2025-06-29,2026-06-29,41,18.0,19.0,4.0,2416.14,2659.9,104.07,134.23,139.99473684210525,329.24,283.73,14,GAS_STATION,21.95,21.95,21.95,21.95,3,2026-06-29 19:55:28.785547+00:00
207,520,SAVINGS,2025-06-29,2026-06-29,72,45.0,20.0,7.0,13805.5,2775.18,232.56,306.7888888888889,138.759,8904.98,386.77,31,ENTERTAINMENT,15.28,36.11,19.44,13.89,3,2026-06-29 19:55:28.785547+00:00
209,527,CHECKING,2025-06-29,2026-06-29,68,45.0,18.0,5.0,6079.66,2203.73,157.81,135.10355555555554,122.42944444444444,333.37,410.89,37,GAS_STATION,17.65,38.24,14.71,20.59,0,2026-06-29 19:55:28.785547+00:00
210,530,CREDIT,2025-06-29,2026-06-29,22,11.0,10.0,1.0,1894.52,1280.77,10.8,172.2290909090909,128.077,300.12,273.75,9,GROCERY,13.64,36.36,18.18,22.73,0,2026-06-29 19:55:28.785547+00:00
212,536,CREDIT,2025-06-29,2026-06-29,45,16.0,23.0,6.0,2264.64,3483.52,158.83,141.54,151.45739130434782,395.01,376.92,14,GAS_STATION,24.44,31.11,13.33,17.78,4,2026-06-29 19:55:28.785547+00:00
215,543,CREDIT,2025-06-29,2026-06-29,74,27.0,38.0,9.0,3442.99,12745.44,231.44,127.51814814814814,335.4063157894737,592.59,7234.49,23,HEALTHCARE,22.97,27.03,17.57,18.92,5,2026-06-29 19:55:28.785547+00:00
215,544,CHECKING,2025-06-29,2026-06-29,55,41.0,10.0,4.0,32030.24,1451.8,138.41,781.2253658536586,145.18,10432.91,386.95,36,EDUCATION,14.55,40.0,18.18,21.82,3,2026-06-29 19:55:28.785547+00:00
218,553,SAVINGS,2025-06-29,2026-06-29,14,10.0,3.0,1.0,1187.92,260.54,27.56,118.792,86.84666666666666,222.2,167.95,9,RETAIL,28.57,42.86,0.0,7.14,10,2026-06-29 19:55:28.785547+00:00
221,559,SAVINGS,2025-06-29,2026-06-29,58,37.0,15.0,6.0,20873.51,2016.38,114.62,564.1489189189189,134.42533333333333,9510.8,285.47,30,HEALTHCARE,12.07,31.03,17.24,22.41,0,2026-06-29 19:55:28.785547+00:00
223,568,CHECKING,2025-06-29,2026-06-29,24,18.0,3.0,3.0,11047.47,215.33,91.13,613.7483333333333,71.77666666666667,9080.42,108.42,12,RETAIL,29.17,33.33,25.0,8.33,25,2026-06-29 19:55:28.785547+00:00
224,569,CHECKING,2025-06-29,2026-06-29,45,26.0,17.0,2.0,25655.92,13854.47,55.52,986.7661538461539,814.9688235294118,11788.47,11943.37,23,GROCERY,17.78,42.22,26.67,6.67,10,2026-06-29 19:55:28.785547+00:00
228,579,LOAN,2025-06-29,2026-06-29,33,15.0,14.0,4.0,2277.75,1851.24,93.67,151.85,132.23142857142858,599.67,276.79,13,RETAIL,27.27,27.27,24.24,12.12,2,2026-06-29 19:55:28.785547+00:00
235,598,LOAN,2025-06-29,2026-06-29,28,12.0,13.0,3.0,11817.0,1822.25,92.84,984.75,140.17307692307693,10404.18,384.01,12,ENTERTAINMENT,17.86,46.43,10.71,17.86,1,2026-06-29 19:55:28.785547+00:00
236,601,CHECKING,2025-06-29,2026-06-29,67,41.0,21.0,5.0,4365.15,3033.06,142.11,106.46707317073171,144.43142857142857,341.93,319.74,31,UTILITIES,25.37,38.81,13.43,13.43,1,2026-06-29 19:55:28.785547+00:00
243,615,SAVINGS,2025-06-29,2026-06-29,59,41.0,14.0,4.0,6397.8,13329.16,83.7,156.04390243902438,952.0828571428572,472.52,11885.42,33,RESTAURANT,18.64,23.73,22.03,15.25,4,2026-06-29 19:55:28.785547+00:00
251,638,CREDIT,2025-06-29,2026-06-29,36,19.0,14.0,3.0,12679.32,9810.42,58.93,667.3326315789474,700.7442857142858,11018.59,8453.47,14,GROCERY,16.67,33.33,25.0,11.11,3,2026-06-29 19:55:28.785547+00:00
253,647,SAVINGS,2025-06-29,2026-06-29,22,11.0,9.0,2.0,18057.0,1239.14,64.74,1641.5454545454545,137.6822222222222,9555.86,236.02,10,GAS_STATION,13.64,36.36,22.73,13.64,1,2026-06-29 19:55:28.785547+00:00
254,649,CREDIT,2025-06-29,2026-06-29,59,18.0,35.0,6.0,21875.28,23566.1,130.4,1215.2933333333333,673.3171428571428,10602.33,9873.33,15,GROCERY,15.25,32.2,28.81,11.86,31,2026-06-29 19:55:28.785547+00:00
263,666,SAVINGS,2025-06-29,2026-06-29,19,15.0,3.0,1.0,6800.05,606.66,18.55,453.33666666666664,202.22,5426.7,378.57,14,ENTERTAINMENT,26.32,31.58,10.53,26.32,0,2026-06-29 19:55:28.785547+00:00
263,667,LOAN,2025-06-29,2026-06-29,66,24.0,40.0,2.0,11834.08,15498.92,36.78,493.08666666666664,387.473,9556.31,11014.03,20,HEALTHCARE,10.61,31.82,19.7,21.21,1,2026-06-29 19:55:28.785547+00:00
264,670,CREDIT,2025-06-29,2026-06-29,71,30.0,30.0,11.0,35792.11,16255.24,307.48,1193.0703333333333,541.8413333333333,11831.26,12108.33,27,GROCERY,21.13,35.21,11.27,14.08,20,2026-06-29 19:55:28.785547+00:00
264,672,LOAN,2025-06-29,2026-06-29,68,25.0,33.0,10.0,3496.93,9525.18,311.55,139.8772,288.64181818181817,357.13,5781.22,19,RETAIL,20.59,32.35,19.12,19.12,0,2026-06-29 19:55:28.785547+00:00
264,673,SAVINGS,2025-06-29,2026-06-29,27,17.0,9.0,1.0,2832.72,1431.6,23.99,166.6305882352941,159.06666666666666,654.87,277.74,17,RETAIL,22.22,25.93,22.22,18.52,31,2026-06-29 19:55:28.785547+00:00
271,686,CHECKING,2025-06-29,2026-06-29,21,10.0,10.0,1.0,1097.4,1593.99,16.8,109.74,159.399,208.7,431.34,10,GROCERY,4.76,19.05,23.81,38.1,48,2026-06-29 19:55:28.785547+00:00
278,703,CREDIT,2025-06-29,2026-06-29,25,11.0,12.0,2.0,9392.34,1621.55,62.21,853.8490909090909,135.12916666666666,8293.65,355.54,9,GAS_STATION,20.0,32.0,28.0,16.0,1,2026-06-29 19:55:28.785547+00:00
279,705,SAVINGS,2025-06-29,2026-06-29,31,23.0,5.0,3.0,10760.46,555.71,108.62,467.84608695652173,111.142,7841.84,187.34,21,ENTERTAINMENT,16.13,22.58,22.58,12.9,1,2026-06-29 19:55:28.785547+00:00
280,708,LOAN,2025-06-29,2026-06-29,35,15.0,15.0,5.0,2078.76,2422.23,174.2,138.584,161.482,300.8,274.2,11,INSURANCE,25.71,28.57,14.29,22.86,8,2026-06-29 19:55:28.785547+00:00
283,713,SAVINGS,2025-06-29,2026-06-29,41,28.0,10.0,3.0,15817.3,1735.49,54.77,564.9035714285715,173.549,6644.5,302.21,25,RETAIL,31.71,19.51,24.39,12.2,3,2026-06-29 19:55:28.785547+00:00
284,718,CHECKING,2025-06-29,2026-06-29,45,31.0,9.0,5.0,3862.22,1460.51,140.7,124.58774193548388,162.2788888888889,529.03,331.64,25,GROCERY,13.33,31.11,22.22,22.22,16,2026-06-29 19:55:28.785547+00:00
285,720,CHECKING,2025-06-29,2026-06-29,26,17.0,6.0,3.0,2395.33,796.7,79.73,140.90176470588236,132.78333333333333,414.95,204.24,15,RETAIL,19.23,23.08,19.23,19.23,2,2026-06-29 19:55:28.785547+00:00
285,721,CREDIT,2025-06-29,2026-06-29,34,15.0,19.0,0.0,1587.15,12998.64,0.0,105.81,684.1389473684211,223.02,10462.73,14,GROCERY,20.59,23.53,14.71,23.53,0,2026-06-29 19:55:28.785547+00:00
287,726,CREDIT,2025-06-29,2026-06-29,52,15.0,34.0,3.0,2428.0,9812.21,113.63,161.86666666666667,288.5944117647059,348.54,6558.5,15,GROCERY,19.23,32.69,23.08,11.54,1,2026-06-29 19:55:28.785547+00:00
